"","Program","Org","City","State","Lat","Lon","Overview","Training.Credentials.Offered","Link"
"34","Urban Conservation Corps","Sourthern California Mountains Foundation","San Bernadino","CA",34.1402520045363,-117.31323239545,"Young adults from San Bernardino and Riverside counties ages 18-25 can join this program to get paid work experience and earn their high school diploma through our onsite John Muir Charter School. The Southern California Mountains Foundation Urban Conservation Corps offers young men and women the chance to better their lives, serving in the Southern California Mountains and become employable citizens through hard work in environmental conservation. ","Recycling Services, Forest Restoration, Wildfire Fuels Reduction, Park Maintenance, Interpretive Programs/Community Outreach,  Landscape & Maintenance, GPS Monitoring, Neighborhood Revitalization, Graffiti Removal, Trail Building","https://mountainsfoundation.org/programs/urban-conservation-corps"
"35","Urban Roots Apprenticeship","Baltimore Tree Trust","Baltimore","MD",39.3187067821616,-76.6208975326457,"The Urban Roots Apprenticeship recruits, trains, mentors and connects Baltimoreans to successful careers in the tree care and landscaping industries. The program works to lessen the barriers between green jobs and those interested in them. ","Our curriculum includes on-the-job training and instruction in the following areas: Plant & Tree Biology; Ecosystems, Sustainability and Reducing waste; Urban Forestry; Tree Planting, Pruning and Maintenance; Pest Management; Residential and Commercial landscaping; Landscape Design","http://www.baltimoretreetrust.org/community/workforce-development/"
"36","Verde Landscape","Verde ","Portland","OR",45.5680431962537,-122.591180103623,"Verde Landscape hires and trains crew members from Portland's Cully neighborhood and other low-income, people of color communities to offer higher-value, higher-skilled landscape services in and outside Cully. The organization's business model and comprehensive training program make a deep investment in people of color and low-income communities.  ","Regular crew members earn a competitive wage, receive Verde‐paid medical and dental insurance, and participate in on‐the‐job training and classroom training in: Stormwater Management; Habitat Restoration; Sustainable Landscape Installation; Landscape Maintenance. ","http://www.verdenw.org/"
"37","Work2Live WELL","Department of Natural Resources","Baltimore","MD",39.2966138345121,-76.7893009849431,"Work2Live WELL is a personal and professional development program for adults with a fast-track entry into the important career world of the environment and natural resources that combines technical skills and training to ensure a solid foundation for employment and success.","The program is designed to offer exposure, opportunity and training in several emerging fields and sectors. Detailed field training plus classroom sessions, one-on-one mentoring and assistance is followed by opportunities to interview for employment with a private or public employer. The Land & Environment track includes skills training relating to forestry/tree care, environmental restoration, and land management.","http://dnr.maryland.gov/ccs/Pages/work-to-live-well/Work-to-Live-Well.aspx"
"38","Young Adult Corps","Los Angeles Conservation Corps","Los Angeles","CA",34.0778583671281,-118.23521013165,"The LA Corps’ hallmark youth and workforce development and transitional jobs program, the Young Adult Corps, offers environmentally focused work projects to predominately under-served youth, often from under-resourced neighborhoods, between the ages of 18-24.","Corpsmembers receive specialized and robust opportunities to train for and gain work experience in fields with high-demand jobs and an environmental focus. They connect to the community through environmental stewardship and develop expertise that leads them toward pathways to high-demand, environmentally focused employment opportunities.","https://www.lacorps.org/young-adult-corps/"
"39","Youth Construction and Conservation Corps","LA Green Corps","New Orleans","LA",29.9696702825597,-90.0795682376103,"The LAGC’s YCCC is a 14 week construction and conservation training program that provides nationally recognized certification training, soft skills training, and performance incentives to youth aged 18-25 in the Greater New Orleans Area. Through a partnership with the SBP, Inc, formerly the St. Bernard Project, local youth rehabilitate blighted homes in the Greater New Orleans Area while incorporating building science best practices into their work.","Students receive the opportunity to concentrate on math, reading and language skills from an academic instructor. Financial proficiency, employability skills, resume writing, resiliency and tool training workshops are also included in our program. LAGC provides training stipends as well as transportation assistance. The YCCC program offers four classes a year free for those who qualify.","https://lagreencorps.org/training"
"40","Youth Environmental Stewardship Program","North East Trees","Los Angeles","CA",34.0862593934206,-118.224933424467,"The Youth Environmental Stewardship Program is a vocational training program that teaches at- risk young adults (ages 16-24) marketable skills in urban forestry and sustainable landscaping in Northeast Los Angeles. ","Train at-risk youth and young adults in environmental disciplines that lead to permanent employment in the green industry. Provide education in the areas of landscape design, arboriculture, horticulture, restoration ecology, hydrology and urban forestry. Help build individual character while developing a community-based work force. Encourage participants to pursue higher education in an environmental discipline. Provide job search training and assistance for graduates to find employment in the green industry.","http://www.northeasttrees.org/programs/youth-stewardship/"
"41","Youth Green Corps","City of Seattle Dept of Parks and Rec with Seattle Trail Alliance","Seattle","WA",47.68095499836,-122.322981566013,"The Youth Green Corps (YGC) is a partnership conceived by Seattle Parks and Recreation and implemented with The Seattle Trail Alliance that educates and trains young adults (18-24) through a mix of classroom experiences and outdoor forestry restoration.  It is a 4-Month program that consists of up to 13 Corps Members.","YGC members work on Forest Restoration and Trail work in Seattle Parks for educational and career training.  They learn site management, restoration skills and management, tool safety, native plant species, invasive plant identification, and environmental stewardship in Seattle Parks.  ","https://www.seattle.gov/parks/volunteer/youth-green-corps"
"42","Youth Tree Team","Trees Atlanta","Atlanta","GA",33.7487591604099,-84.3567600581236,"The Youth Tree Team (YTT) is a summer employment opportunity that gives high school students exposure to forestry, landscape design, horticulture, and arboriculture.","The Youth Tree Team participates in weeding, mulching, pruning, and planting projects along the Atlanta BeltLine Arboretum and in neighborhoods. Included in the program are leadership and team-building activities, job skills training, personal financial literacy workshops, and networking opportunities with green collar professionals.","https://www.treesatlanta.org/programs/youth-tree-team/"
"43","Youth Tree Team","Keep Indianapolis Beautiful","Indianapolis","IN",39.7579798848327,-86.1395245301598,"The Youth Tree Team is a seven-week summer job program for teens and young adults that improves the community through tree care and work readiness training.","Job Skills Certificate offered to YTT members based on teamwork, respectful behavior, accountability, active engagement, and communication. ","https://www.kibi.org/youth-tree-team"
"44","Tree Trust YouthBuild","Tree Trust","St. Paul","MN",44.9733245854306,-93.1575193368914,"Tree Trust YouthBuild, a pre-apprenticeship program, offers the unique opportunity to gain hands-on training and earn a paycheck, all while working towards earning a high school diploma for young people, ages 16-21.","Develop valuable career and leadership skills while helping your community through home construction and tree care. Earn while you learn; hands-on training; earn industry-recognized certifications from Home Builders Institute and Tree Care Industry Association; develop leadership skills; and gain long-term support.","https://treetrust.org/programs/jobprep/youthbuild/"
